epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,12569.7,0.47543,0.36741,0.87393,0.51214,0.34952,0.3511,0.18337,2.55202,2.34018,2.24278,0.000660299,0.000660299,0.000660299
63,12647.9,0.46969,0.37509,0.8712,0.42207,0.32523,0.32385,0.17402,2.57694,2.51881,2.23883,0.000643795,0.000643795,0.000643795
64,12726.4,0.46979,0.37196,0.87014,0.44338,0.36455,0.36529,0.18768,2.578,2.2608,2.24066,0.000627292,0.000627292,0.000627292
65,12807,0.46587,0.38208,0.86916,0.47995,0.37591,0.38983,0.18887,2.67343,2.31244,2.33773,0.000610789,0.000610789,0.000610789
66,12887.1,0.46539,0.36588,0.86286,0.48069,0.3256,0.36629,0.19607,2.5602,2.5956,2.29932,0.000594286,0.000594286,0.000594286
67,12967.1,0.44782,0.35321,0.85783,0.62258,0.34233,0.38684,0.19997,2.54122,2.33087,2.24032,0.000577782,0.000577782,0.000577782
68,13050.1,0.44913,0.34941,0.86154,0.57911,0.34378,0.39681,0.19519,2.5133,2.34334,2.21775,0.000561279,0.000561279,0.000561279
69,13134.6,0.46037,0.37187,0.8738,0.54022,0.37082,0.39537,0.20121,2.46024,2.21276,2.16813,0.000544776,0.000544776,0.000544776
70,13216.2,0.43476,0.35023,0.86295,0.59105,0.38678,0.39939,0.20372,2.41371,2.5518,2.16062,0.000528272,0.000528272,0.000528272
71,13295.6,0.43601,0.35786,0.86145,0.56757,0.3869,0.39464,0.1969,2.48298,2.58777,2.20106,0.000511769,0.000511769,0.000511769
